City ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,Fairbanks,64.8378,-147.7164,-0.1,53,0,3.09,US,1647652974
305,Libreville,0.3925,9.4537,28.01,83,40,2.57,GA,1647652877
306,Saint Paul Harbor,57.79,-152.4072,0.73,86,100,7.2,US,1647652593
307,Kawalu,-7.3817,108.2082,25.38,86,97,1.09,ID,1647653061
308,Cap Malheureux,-19.9842,57.6142,25.26,91,70,1.41,MU,1647653062
309,Tambo,-14.8,-73.9167,4.09,80,95,1.78,PE,1647653063
310,Kibaya,-5.3,36.5667,13.95,92,100,0.36,TZ,1647653064
311,Port Hawkesbury,45.6169,-61.3485,3.99,97,100,3.6,CA,1647653064
312,Barranca,-10.75,-77.7667,21.56,80,0,3.23,PE,1647653065
313,Alexandria,31.2156,29.9553,12.06,62,10,5.59,EG,1647652606
314,Chilca,-12.5211,-76.7372,20.66,88,19,1.98,PE,1647653067
315,Tegul'det,57.3064,88.1667,-11.57,96,100,2.99,RU,1647653068
316,Santo Domingo,18.5001,-69.9886,26.69,80,40,2.68,DO,1647653068
317,Bud,39.447,-86.1758,14.06,96,100,3.5,US,1647653069
318,Cherskiy,68.75,161.3,-15.32,78,12,3.0,RU,1647652587
319,Antalaha,-14.9003,50.2788,24.61,92,100,1.55,MG,1647653071
320,Ust-Kuyga,70.0167,135.6,-24.72,99,92,4.03,RU,1647653072
321,Dodoma,-6.1722,35.7395,17.47,94,75,0.68,TZ,1647653073
322,Muhafazat Lahij,13.1667,44.5833,21.74,53,13,0.97,YE,1647653074
323,Ulladulla,-35.35,150.4667,18.5,79,100,5.47,AU,1647652347
324,Mount Gambier,-37.8333,140.7667,21.07,45,57,2.3,AU,1647653075
325,Umm Hājar,13.2954,19.6966,22.88,9,100,4.36,TD,1647653076
326,Ayan,56.45,138.1667,-8.71,89,100,4.05,RU,1647653077
327,Paamiut,61.994,-49.6678,-10.26,92,100,1.76,GL,1647653078
328,Sayyan,15.1718,44.3244,11.33,37,0,1.27,YE,1647653078
329,Taiyuan,37.8694,112.5603,1.92,35,0,5.0,CN,1647652961
330,Buraidah,26.326,43.975,10.25,13,0,2.5,SA,1647653080
331,Fort Nelson,58.8053,-122.7002,7.77,27,20,1.03,CA,1647653081
332,Wajima,37.4,136.9,6.38,93,75,1.54,JP,1647653082
333,Tomohon,1.3346,124.8392,26.52,68,96,0.94,ID,1647653083
334,Pingliang,35.5392,106.6861,5.16,53,100,4.06,CN,1647653083
335,Pacific Grove,36.6177,-121.9166,17.99,79,0,3.09,US,1647653084
336,Hong Kong,22.2855,114.1577,24.1,86,63,5.36,HK,1647652977
337,Lábrea,-7.2586,-64.7981,23.28,99,99,0.88,BR,1647653086
338,Tabou,4.423,-7.3528,26.01,89,100,3.13,CI,1647653087
339,Tigzirt,36.8886,4.1198,12.22,87,81,2.21,DZ,1647653089
340,Souillac,-20.5167,57.5167,24.21,94,20,1.03,MU,1647653089
341,Jianning,27.8333,113.15,14.07,77,0,2.79,CN,1647653090
342,Iqaluit,63.7506,-68.5145,-25.15,69,75,2.06,CA,1647652586
343,Emba,48.8264,58.1442,-15.6,97,100,1.83,KZ,1647653093
344,Ndélé,8.4109,20.6473,21.34,18,97,1.62,CF,1647653096
345,Ponta Delgada,37.7333,-25.6667,12.4,58,40,7.2,PT,1647653096
346,Province of Trapani,37.8333,12.6667,14.02,82,40,3.09,IT,1647653097
347,Sydney,-33.8679,151.2073,21.17,87,75,8.75,AU,1647652874
